Tabel Kemampuan Uji Laboratorium Obat dan Nappza;;;;;;;;;;
;;;;;;;;;;
NO;ZAT AKTIF;JENIS SEDIAAN;BENTUK SEDIAAN;PARAMETER UJI ;Metode Uji (PNBP);Jumlah Sampel;;Harga;"Harga Total
(sudah termasuk organoleptik)";
;;;;;;Minimal;Satuan;;;
;;;;;;;;;;
50;KETOROLAC TROMETHAMINE;Steril;Injeksi;Pemerian;organoleptik;3;Vial;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;pH;pH meter;3;;;;
51;KETOROLAC TROMETHAMINE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;Keseragaman Sediaan;;10;;;;
;;;;Disolusi ;Spektrofotometri UV-Vis;12;;Rp851.297;;
53;MELOXICAM;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;;;
;;;;Keseragaman Kandungan;;10;;Rp851.297;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;;;
54;PIROXICAM;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;Spektrofotometri UV-Vis;20;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;Keseragaman Sediaan;;10;;;;
;;;;Disolusi ;;12;;Rp851.297;;
55;PIROXICAM;Oral;Kapsul;Pemerian;organoleptik;3;Kapsul;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Kandungan;;10;;;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp851.297;;
56;DEXAMETHASONE;Oral;Tablet;Pemerian ;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;Keseragaman Sediaan ;;10;;;;
